assignment_id,section_id,course_id,title,type,description,total_points,due_date,created_date,status
ASG000382,SEC000136,ART358,Quiz 4,Lab,Assignment covering course materials and objectives.,20,2024-01-22,2025-04-04,Draft
ASG000383,SEC000266,HIST522,Project 3,Final,Assignment covering course materials and objectives.,50,2025-01-28,2025-12-12,Active
ASG000384,SEC000329,CHEM329,Presentation 1,Essay,Assignment covering course materials and objectives.,10,2025-08-20,2024-04-15,Draft
ASG000385,SEC000004,ART182,Exam 5,Exam,Assignment covering course materials and objectives.,20,2025-03-14,2024-09-03,Draft
ASG000386,SEC000129,ECON545,Project 8,Project,Assignment covering course materials and objectives.,100,2024-02-16,2024-03-09,Active
ASG000387,SEC000039,HIST572,Final 5,Project,Assignment covering course materials and objectives.,25,2024-03-17,2024-07-11,Active
ASG000388,SEC000346,NURS389,Midterm 2,Presentation,Assignment covering course materials and objectives.,100,2024-05-26,2025-02-27,Active
ASG000389,SEC000034,ECON262,Quiz 5,Midterm,Assignment covering course materials and objectives.,50,2024-06-23,2024-01-26,Draft
ASG000390,SEC000105,BIO410,Lab 8,Final,Assignment covering course materials and objectives.,50,2024-08-22,2024-12-18,Active
ASG000391,SEC000062,EDUC170,Lab 6,Essay,Assignment covering course materials and objectives.,50,2024-11-08,2025-04-07,Active
ASG000392,SEC000033,HIST485,Quiz 7,Final,Assignment covering course materials and objectives.,100,2024-11-30,2025-08-29,Active
ASG000393,SEC000208,CS149,Presentation 4,Midterm,Assignment covering course materials and objectives.,10,2024-01-15,2025-07-12,Active
ASG000394,SEC000115,BUS307,Final 4,Homework,Assignment covering course materials and objectives.,10,2024-11-01,2025-07-14,Active
ASG000395,SEC000243,ART132,Final 2,Presentation,Assignment covering course materials and objectives.,25,2025-03-19,2024-01-11,Active
ASG000396,SEC000348,PSYC342,Lab 2,Final,Assignment covering course materials and objectives.,100,2024-02-08,2025-11-18,Active
ASG000397,SEC000145,BUS362,Lab 7,Exam,Assignment covering course materials and objectives.,100,2025-06-23,2024-06-23,Draft
ASG000398,SEC000034,ECON262,Midterm 4,Lab,Assignment covering course materials and objectives.,50,2024-02-04,2025-07-12,Draft
ASG000399,SEC000112,CHEM329,Presentation 4,Quiz,Assignment covering course materials and objectives.,25,2025-07-31,2024-07-18,Active
ASG000400,SEC000265,PSYC408,Quiz 4,Midterm,Assignment covering course materials and objectives.,20,2024-06-04,2025-08-26,Active
ASG000401,SEC000267,EDUC373,Homework 5,Essay,Assignment covering course materials and objectives.,10,2025-10-27,2024-08-22,Active
ASG000402,SEC000398,EDUC302,Final 4,Lab,Assignment covering course materials and objectives.,100,2024-04-24,2025-11-01,Active
ASG000403,SEC000206,HIST522,Lab 8,Presentation,Assignment covering course materials and objectives.,25,2025-08-17,2024-07-08,Draft
ASG000404,SEC000102,ECON404,Final 7,Final,Assignment covering course materials and objectives.,10,2024-07-27,2024-08-27,Draft
ASG000405,SEC000333,MUS507,Exam 3,Midterm,Assignment covering course materials and objectives.,100,2024-04-15,2025-07-25,Active
ASG000406,SEC000187,NURS366,Essay 4,Exam,Assignment covering course materials and objectives.,25,2025-12-05,2025-05-30,Active
ASG000407,SEC000018,PSYC569,Exam 2,Project,Assignment covering course materials and objectives.,50,2025-05-13,2024-03-05,Draft
ASG000408,SEC000027,BIO506,Project 4,Final,Assignment covering course materials and objectives.,25,2024-03-15,2025-04-29,Draft
ASG000409,SEC000207,MUS106,Homework 3,Final,Assignment covering course materials and objectives.,50,2024-11-13,2025-09-04,Active
ASG000410,SEC000242,ECON323,Exam 7,Lab,Assignment covering course materials and objectives.,100,2025-06-05,2024-03-13,Active
ASG000411,SEC000174,BUS362,Homework 4,Quiz,Assignment covering course materials and objectives.,50,2025-05-07,2025-07-03,Active
ASG000412,SEC000089,BIO480,Final 4,Midterm,Assignment covering course materials and objectives.,100,2025-10-10,2024-08-14,Active
ASG000413,SEC000325,NURS238,Project 1,Final,Assignment covering course materials and objectives.,20,2024-07-07,2025-04-03,Active
ASG000414,SEC000141,ECON195,Presentation 6,Project,Assignment covering course materials and objectives.,100,2024-11-20,2024-09-07,Draft
ASG000415,SEC000303,PSYC215,Final 3,Project,Assignment covering course materials and objectives.,20,2024-02-13,2025-03-25,Active
ASG000416,SEC000324,EDUC170,Lab 7,Quiz,Assignment covering course materials and objectives.,10,2024-12-14,2025-03-18,Active
ASG000417,SEC000119,NURS505,Homework 7,Midterm,Assignment covering course materials and objectives.,100,2024-01-31,2024-03-07,Active
ASG000418,SEC000198,CS237,Midterm 1,Quiz,Assignment covering course materials and objectives.,25,2025-12-21,2024-03-20,Active
ASG000419,SEC000288,ECON545,Homework 5,Lab,Assignment covering course materials and objectives.,50,2024-04-17,2024-06-11,Active
ASG000420,SEC000288,ECON545,Project 7,Exam,Assignment covering course materials and objectives.,25,2025-07-15,2025-04-02,Active
ASG000421,SEC000258,HIST249,Essay 7,Exam,Assignment covering course materials and objectives.,20,2025-04-04,2025-07-11,Draft
ASG000422,SEC000360,EDUC496,Quiz 8,Project,Assignment covering course materials and objectives.,20,2025-04-07,2025-04-15,Draft
ASG000423,SEC000013,BUS287,Presentation 4,Essay,Assignment covering course materials and objectives.,10,2025-12-23,2024-09-02,Draft
ASG000424,SEC000286,HIST251,Homework 7,Essay,Assignment covering course materials and objectives.,50,2024-10-25,2024-03-17,Draft
ASG000425,SEC000304,ECON277,Final 5,Project,Assignment covering course materials and objectives.,50,2025-02-18,2025-12-26,Active
ASG000426,SEC000346,NURS389,Project 8,Essay,Assignment covering course materials and objectives.,50,2024-03-28,2025-06-03,Active
ASG000427,SEC000182,EDUC170,Project 6,Midterm,Assignment covering course materials and objectives.,50,2025-05-08,2025-05-22,Active
ASG000428,SEC000289,MATH584,Exam 5,Essay,Assignment covering course materials and objectives.,100,2024-08-27,2025-02-27,Active
ASG000429,SEC000275,BUS444,Final 4,Midterm,Assignment covering course materials and objectives.,25,2024-11-15,2025-07-08,Active
ASG000430,SEC000098,HIST546,Presentation 1,Lab,Assignment covering course materials and objectives.,20,2024-10-02,2024-09-30,Active
ASG000431,SEC000003,ECON554,Exam 6,Presentation,Assignment covering course materials and objectives.,50,2025-10-17,2024-03-04,Active
ASG000432,SEC000062,EDUC170,Midterm 3,Essay,Assignment covering course materials and objectives.,100,2025-07-22,2025-07-13,Active
ASG000433,SEC000204,MATH497,Quiz 1,Project,Assignment covering course materials and objectives.,50,2025-02-24,2024-08-01,Active
ASG000434,SEC000302,BUS526,Lab 1,Project,Assignment covering course materials and objectives.,100,2024-02-01,2024-11-07,Active
ASG000435,SEC000252,CHEM347,Lab 2,Exam,Assignment covering course materials and objectives.,50,2025-09-17,2025-07-16,Active
ASG000436,SEC000263,CHEM248,Presentation 6,Essay,Assignment covering course materials and objectives.,10,2024-01-16,2025-06-20,Draft
ASG000437,SEC000398,EDUC302,Quiz 8,Homework,Assignment covering course materials and objectives.,50,2025-05-29,2024-07-30,Active
ASG000438,SEC000348,PSYC342,Quiz 4,Exam,Assignment covering course materials and objectives.,100,2024-11-07,2024-02-03,Active
ASG000439,SEC000347,MUS278,Midterm 6,Lab,Assignment covering course materials and objectives.,20,2025-01-02,2024-02-13,Active
ASG000440,SEC000207,MUS106,Essay 8,Essay,Assignment covering course materials and objectives.,25,2024-11-23,2025-05-01,Active
ASG000441,SEC000267,EDUC373,Presentation 4,Exam,Assignment covering course materials and objectives.,100,2024-03-13,2024-01-12,Draft
ASG000442,SEC000343,CS293,Homework 6,Presentation,Assignment covering course materials and objectives.,10,2024-12-11,2024-11-18,Draft
ASG000443,SEC000108,BUS538,Final 5,Quiz,Assignment covering course materials and objectives.,10,2025-08-08,2025-02-18,Active
ASG000444,SEC000399,ENG336,Homework 7,Presentation,Assignment covering course materials and objectives.,10,2025-02-21,2025-11-21,Active
ASG000445,SEC000338,CS482,Essay 4,Quiz,Assignment covering course materials and objectives.,50,2025-01-22,2025-02-19,Active
ASG000446,SEC000355,ART343,Exam 5,Lab,Assignment covering course materials and objectives.,25,2025-01-20,2025-09-07,Draft
ASG000447,SEC000360,EDUC496,Quiz 2,Lab,Assignment covering course materials and objectives.,20,2024-08-23,2025-12-08,Draft
ASG000448,SEC000318,BIO489,Midterm 6,Midterm,Assignment covering course materials and objectives.,25,2025-01-05,2024-09-26,Draft
ASG000449,SEC000009,ECON277,Presentation 4,Lab,Assignment covering course materials and objectives.,20,2025-03-03,2024-01-22,Active
ASG000450,SEC000100,NURS155,Project 3,Lab,Assignment covering course materials and objectives.,100,2025-12-22,2025-08-25,Draft
ASG000451,SEC000302,BUS526,Presentation 7,Homework,Assignment covering course materials and objectives.,100,2025-12-22,2025-12-02,Active
ASG000452,SEC000264,ENG148,Midterm 6,Final,Assignment covering course materials and objectives.,100,2024-02-07,2024-10-22,Active
ASG000453,SEC000149,ENG148,Homework 4,Presentation,Assignment covering course materials and objectives.,20,2024-11-09,2025-06-23,Draft
ASG000454,SEC000134,BUS204,Essay 2,Exam,Assignment covering course materials and objectives.,50,2024-05-03,2025-07-31,Active
ASG000455,SEC000231,MUS256,Homework 3,Exam,Assignment covering course materials and objectives.,100,2024-08-01,2024-01-23,Active
ASG000456,SEC000151,ECON400,Project 2,Exam,Assignment covering course materials and objectives.,10,2024-07-21,2024-10-08,Active
ASG000457,SEC000170,BUS307,Midterm 1,Homework,Assignment covering course materials and objectives.,50,2024-07-08,2024-12-16,Draft
ASG000458,SEC000199,PHYS261,Final 8,Exam,Assignment covering course materials and objectives.,20,2024-02-28,2025-01-25,Active
ASG000459,SEC000215,ENG533,Essay 8,Final,Assignment covering course materials and objectives.,20,2025-03-28,2025-12-15,Active
ASG000460,SEC000332,PHYS438,Essay 2,Homework,Assignment covering course materials and objectives.,25,2024-04-11,2024-08-29,Draft
ASG000461,SEC000249,ART425,Midterm 8,Presentation,Assignment covering course materials and objectives.,50,2025-09-12,2025-01-04,Active
ASG000462,SEC000381,PHYS456,Exam 3,Lab,Assignment covering course materials and objectives.,100,2025-01-27,2025-05-05,Active
ASG000463,SEC000240,NURS238,Quiz 7,Midterm,Assignment covering course materials and objectives.,25,2024-12-02,2025-04-07,Active
ASG000464,SEC000068,CHEM309,Homework 5,Essay,Assignment covering course materials and objectives.,25,2025-11-17,2024-01-25,Active
ASG000465,SEC000276,CS384,Lab 5,Project,Assignment covering course materials and objectives.,100,2025-06-25,2024-05-21,Draft
ASG000466,SEC000302,BUS526,Midterm 7,Lab,Assignment covering course materials and objectives.,10,2024-08-29,2025-11-22,Draft
ASG000467,SEC000199,PHYS261,Midterm 5,Final,Assignment covering course materials and objectives.,100,2025-03-12,2025-06-02,Draft
ASG000468,SEC000309,CS482,Homework 8,Final,Assignment covering course materials and objectives.,50,2024-08-25,2025-08-01,Active
ASG000469,SEC000153,ENG247,Quiz 4,Essay,Assignment covering course materials and objectives.,100,2024-02-09,2025-09-30,Active
ASG000470,SEC000313,CHEM524,Homework 5,Lab,Assignment covering course materials and objectives.,25,2025-04-22,2024-10-12,Active
ASG000471,SEC000235,ENG247,Homework 8,Exam,Assignment covering course materials and objectives.,25,2024-11-03,2024-10-06,Active
ASG000472,SEC000372,ART504,Exam 8,Final,Assignment covering course materials and objectives.,50,2024-03-06,2024-03-03,Active
ASG000473,SEC000130,ENG333,Midterm 3,Final,Assignment covering course materials and objectives.,50,2024-10-10,2024-02-26,Draft
ASG000474,SEC000163,BUS392,Quiz 4,Quiz,Assignment covering course materials and objectives.,25,2025-01-25,2024-01-08,Active
ASG000475,SEC000230,MUS381,Final 3,Final,Assignment covering course materials and objectives.,10,2024-08-21,2024-11-17,Draft
ASG000476,SEC000268,HIST395,Quiz 1,Final,Assignment covering course materials and objectives.,25,2025-07-01,2025-05-21,Draft
ASG000477,SEC000236,NURS432,Homework 8,Essay,Assignment covering course materials and objectives.,10,2024-04-18,2024-07-14,Active
ASG000478,SEC000308,PHYS329,Exam 6,Presentation,Assignment covering course materials and objectives.,50,2025-09-18,2025-05-04,Active
ASG000479,SEC000396,CHEM493,Presentation 4,Quiz,Assignment covering course materials and objectives.,50,2025-05-08,2024-03-09,Draft
ASG000480,SEC000093,EDUC375,Presentation 7,Midterm,Assignment covering course materials and objectives.,100,2025-02-25,2024-03-12,Draft
ASG000481,SEC000120,MATH373,Project 7,Project,Assignment covering course materials and objectives.,100,2024-05-02,2024-09-04,Active
ASG000482,SEC000102,ECON404,Exam 7,Exam,Assignment covering course materials and objectives.,25,2025-12-02,2025-09-21,Draft
ASG000483,SEC000156,ENG379,Homework 5,Presentation,Assignment covering course materials and objectives.,50,2025-01-10,2024-10-10,Draft
ASG000484,SEC000232,ART238,Homework 6,Project,Assignment covering course materials and objectives.,50,2024-10-31,2024-10-02,Active
ASG000485,SEC000132,CHEM148,Essay 5,Quiz,Assignment covering course materials and objectives.,20,2024-04-21,2025-10-30,Draft
ASG000486,SEC000195,ECON554,Exam 1,Final,Assignment covering course materials and objectives.,10,2024-03-19,2025-12-18,Active
ASG000487,SEC000272,MUS567,Project 5,Final,Assignment covering course materials and objectives.,20,2025-06-29,2024-01-10,Active
ASG000488,SEC000346,NURS389,Exam 1,Essay,Assignment covering course materials and objectives.,20,2025-01-29,2024-11-25,Active
ASG000489,SEC000148,PHYS347,Essay 7,Final,Assignment covering course materials and objectives.,50,2025-09-25,2025-03-04,Active
ASG000490,SEC000020,MUS520,Quiz 3,Project,Assignment covering course materials and objectives.,20,2024-04-01,2024-11-19,Active
ASG000491,SEC000154,HIST485,Homework 5,Quiz,Assignment covering course materials and objectives.,25,2025-10-14,2025-04-12,Active
ASG000492,SEC000264,ENG148,Lab 3,Midterm,Assignment covering course materials and objectives.,50,2025-06-13,2025-03-03,Active
ASG000493,SEC000334,PHYS424,Exam 8,Midterm,Assignment covering course materials and objectives.,100,2024-07-21,2024-09-04,Active
ASG000494,SEC000123,NURS389,Essay 7,Lab,Assignment covering course materials and objectives.,20,2024-01-21,2024-04-05,Active
ASG000495,SEC000132,CHEM148,Essay 8,Presentation,Assignment covering course materials and objectives.,50,2024-03-26,2025-02-28,Active
ASG000496,SEC000295,MUS256,Essay 1,Presentation,Assignment covering course materials and objectives.,25,2024-03-07,2024-01-15,Active
ASG000497,SEC000040,ECON508,Final 5,Quiz,Assignment covering course materials and objectives.,50,2024-09-08,2025-11-15,Active
ASG000498,SEC000327,PHYS261,Presentation 6,Exam,Assignment covering course materials and objectives.,20,2024-09-18,2025-10-11,Draft
ASG000499,SEC000190,ENG333,Essay 5,Presentation,Assignment covering course materials and objectives.,10,2024-05-10,2025-11-05,Active
ASG000500,SEC000113,BIO111,Final 5,Presentation,Assignment covering course materials and objectives.,50,2025-11-22,2024-06-26,Draft
ASG000501,SEC000134,BUS204,Lab 1,Quiz,Assignment covering course materials and objectives.,100,2025-06-09,2025-09-24,Active
ASG000502,SEC000362,MATH533,Final 2,Lab,Assignment covering course materials and objectives.,20,2024-12-07,2024-08-05,Active
ASG000503,SEC000328,ECON577,Lab 3,Essay,Assignment covering course materials and objectives.,50,2024-05-08,2025-06-29,Draft
ASG000504,SEC000383,NURS155,Homework 8,Final,Assignment covering course materials and objectives.,10,2024-09-11,2025-06-02,Active
ASG000505,SEC000365,PHYS462,Midterm 6,Quiz,Assignment covering course materials and objectives.,20,2024-09-20,2024-02-14,Draft
ASG000506,SEC000345,PHYS438,Lab 2,Final,Assignment covering course materials and objectives.,25,2024-01-19,2025-01-18,Active
ASG000507,SEC000343,CS293,Lab 1,Essay,Assignment covering course materials and objectives.,25,2024-10-02,2025-03-03,Active
ASG000508,SEC000040,ECON508,Exam 1,Presentation,Assignment covering course materials and objectives.,100,2024-01-24,2025-11-08,Draft
ASG000509,SEC000056,EDUC434,Quiz 6,Midterm,Assignment covering course materials and objectives.,20,2025-10-16,2025-03-26,Active
ASG000510,SEC000169,BUS433,Project 1,Project,Assignment covering course materials and objectives.,10,2024-11-19,2025-07-01,Active
ASG000511,SEC000194,ENG247,Lab 4,Lab,Assignment covering course materials and objectives.,25,2024-05-10,2025-07-14,Active
ASG000512,SEC000353,HIST104,Essay 5,Homework,Assignment covering course materials and objectives.,10,2025-08-21,2024-06-17,Active
ASG000513,SEC000056,EDUC434,Essay 1,Midterm,Assignment covering course materials and objectives.,100,2025-05-23,2024-09-05,Active
ASG000514,SEC000176,CS508,Project 1,Homework,Assignment covering course materials and objectives.,20,2024-10-05,2025-10-11,Active
ASG000515,SEC000096,BIO481,Exam 7,Exam,Assignment covering course materials and objectives.,10,2024-12-04,2025-11-28,Active
ASG000516,SEC000394,ECON255,Essay 6,Presentation,Assignment covering course materials and objectives.,20,2025-06-01,2024-11-04,Draft
ASG000517,SEC000191,NURS305,Presentation 6,Midterm,Assignment covering course materials and objectives.,100,2025-12-09,2024-08-12,Active
ASG000518,SEC000305,ECON405,Project 5,Project,Assignment covering course materials and objectives.,10,2024-01-31,2025-08-15,Active
ASG000519,SEC000041,EDUC375,Final 6,Midterm,Assignment covering course materials and objectives.,100,2025-03-26,2025-06-27,Active
ASG000520,SEC000272,MUS567,Homework 6,Midterm,Assignment covering course materials and objectives.,20,2025-06-05,2024-09-05,Draft
ASG000521,SEC000266,HIST522,Project 1,Quiz,Assignment covering course materials and objectives.,100,2025-09-08,2025-07-29,Draft
ASG000522,SEC000186,PSYC463,Final 5,Presentation,Assignment covering course materials and objectives.,10,2025-04-06,2024-10-26,Active
ASG000523,SEC000215,ENG533,Exam 6,Presentation,Assignment covering course materials and objectives.,50,2024-01-04,2024-08-02,Active
ASG000524,SEC000230,MUS381,Quiz 8,Essay,Assignment covering course materials and objectives.,100,2025-04-07,2024-12-02,Active
ASG000525,SEC000297,PHYS438,Final 1,Exam,Assignment covering course materials and objectives.,10,2025-05-12,2024-12-15,Active
ASG000526,SEC000024,ENG379,Lab 7,Homework,Assignment covering course materials and objectives.,50,2024-10-21,2024-08-01,Active
ASG000527,SEC000324,EDUC170,Presentation 5,Final,Assignment covering course materials and objectives.,25,2025-05-06,2025-05-21,Active
ASG000528,SEC000315,ART593,Exam 1,Exam,Assignment covering course materials and objectives.,25,2025-10-06,2024-09-18,Active
ASG000529,SEC000007,ENG533,Midterm 4,Quiz,Assignment covering course materials and objectives.,100,2025-05-10,2024-03-23,Active
ASG000530,SEC000062,EDUC170,Quiz 3,Homework,Assignment covering course materials and objectives.,20,2025-02-11,2025-05-15,Active
ASG000531,SEC000313,CHEM524,Quiz 7,Lab,Assignment covering course materials and objectives.,20,2025-03-19,2024-03-25,Draft
ASG000532,SEC000213,PSYC215,Presentation 5,Midterm,Assignment covering course materials and objectives.,10,2024-01-30,2025-05-15,Active
ASG000533,SEC000178,ENG336,Exam 8,Essay,Assignment covering course materials and objectives.,50,2025-01-10,2024-05-18,Active
ASG000534,SEC000279,PSYC569,Project 2,Project,Assignment covering course materials and objectives.,10,2025-10-29,2024-01-06,Active
ASG000535,SEC000378,EDUC111,Presentation 2,Final,Assignment covering course materials and objectives.,20,2024-07-01,2024-04-02,Active
ASG000536,SEC000082,HIST104,Homework 1,Midterm,Assignment covering course materials and objectives.,25,2024-03-12,2025-01-27,Draft
ASG000537,SEC000365,PHYS462,Lab 4,Homework,Assignment covering course materials and objectives.,100,2025-01-21,2024-01-25,Active
ASG000538,SEC000076,EDUC375,Final 4,Quiz,Assignment covering course materials and objectives.,50,2025-05-17,2024-05-23,Active
ASG000539,SEC000067,HIST104,Lab 7,Lab,Assignment covering course materials and objectives.,25,2025-04-30,2024-04-28,Active
ASG000540,SEC000195,ECON554,Homework 7,Homework,Assignment covering course materials and objectives.,50,2025-04-10,2025-10-21,Active
ASG000541,SEC000252,CHEM347,Midterm 3,Quiz,Assignment covering course materials and objectives.,25,2024-05-05,2025-07-10,Active
ASG000542,SEC000021,CHEM329,Homework 8,Exam,Assignment covering course materials and objectives.,100,2024-01-27,2025-05-30,Active
ASG000543,SEC000242,ECON323,Final 1,Quiz,Assignment covering course materials and objectives.,10,2025-04-12,2024-03-03,Active
ASG000544,SEC000393,MUS278,Presentation 5,Midterm,Assignment covering course materials and objectives.,50,2024-12-04,2025-07-06,Active
ASG000545,SEC000233,BIO111,Essay 8,Homework,Assignment covering course materials and objectives.,20,2024-08-18,2025-02-12,Draft
ASG000546,SEC000373,PHYS462,Essay 5,Midterm,Assignment covering course materials and objectives.,100,2024-03-26,2024-01-22,Active
ASG000547,SEC000381,PHYS456,Midterm 5,Final,Assignment covering course materials and objectives.,50,2024-11-18,2024-06-15,Active
ASG000548,SEC000395,ART358,Homework 1,Lab,Assignment covering course materials and objectives.,25,2024-08-07,2024-07-17,Active
ASG000549,SEC000109,CS293,Homework 5,Final,Assignment covering course materials and objectives.,20,2024-01-27,2025-04-19,Active
ASG000550,SEC000002,MUS336,Homework 3,Presentation,Assignment covering course materials and objectives.,50,2024-12-23,2024-12-11,Active
ASG000551,SEC000229,BIO561,Essay 4,Presentation,Assignment covering course materials and objectives.,25,2025-12-29,2024-04-01,Draft
ASG000552,SEC000108,BUS538,Final 3,Essay,Assignment covering course materials and objectives.,10,2024-04-16,2025-04-27,Active
ASG000553,SEC000325,NURS238,Project 1,Project,Assignment covering course materials and objectives.,25,2025-06-03,2024-06-16,Active
ASG000554,SEC000244,PSYC373,Exam 7,Project,Assignment covering course materials and objectives.,20,2024-01-30,2025-07-11,Active
ASG000555,SEC000384,ECON360,Lab 1,Final,Assignment covering course materials and objectives.,100,2025-12-31,2025-03-15,Active
ASG000556,SEC000055,MUS567,Exam 6,Final,Assignment covering course materials and objectives.,10,2024-11-05,2024-11-07,Active
ASG000557,SEC000031,NURS185,Presentation 6,Midterm,Assignment covering course materials and objectives.,50,2024-05-09,2024-04-04,Active
ASG000558,SEC000069,MUS434,Midterm 2,Presentation,Assignment covering course materials and objectives.,100,2024-04-18,2024-01-01,Active
ASG000559,SEC000338,CS482,Midterm 7,Presentation,Assignment covering course materials and objectives.,20,2025-01-11,2024-05-11,Active
ASG000560,SEC000171,MUS524,Exam 7,Midterm,Assignment covering course materials and objectives.,20,2025-10-31,2025-04-07,Active
ASG000561,SEC000038,ENG430,Homework 8,Homework,Assignment covering course materials and objectives.,50,2025-06-30,2025-02-24,Draft
ASG000562,SEC000141,ECON195,Presentation 5,Quiz,Assignment covering course materials and objectives.,25,2025-04-29,2024-08-28,Active
ASG000563,SEC000311,CS370,Lab 7,Final,Assignment covering course materials and objectives.,100,2024-12-09,2024-07-15,Draft
ASG000564,SEC000150,EDUC403,Exam 6,Exam,Assignment covering course materials and objectives.,25,2025-04-15,2025-03-30,Draft
ASG000565,SEC000276,CS384,Midterm 8,Project,Assignment covering course materials and objectives.,100,2025-01-17,2024-03-31,Draft
ASG000566,SEC000321,CHEM422,Presentation 1,Project,Assignment covering course materials and objectives.,20,2025-11-15,2025-10-28,Active
ASG000567,SEC000337,MATH329,Midterm 1,Quiz,Assignment covering course materials and objectives.,25,2025-11-23,2024-01-18,Active
ASG000568,SEC000365,PHYS462,Homework 8,Quiz,Assignment covering course materials and objectives.,25,2025-10-21,2024-04-09,Draft
ASG000569,SEC000373,PHYS462,Project 3,Project,Assignment covering course materials and objectives.,10,2025-10-28,2024-11-10,Draft
ASG000570,SEC000252,CHEM347,Exam 6,Presentation,Assignment covering course materials and objectives.,10,2025-12-19,2024-04-03,Active
ASG000571,SEC000327,PHYS261,Essay 4,Project,Assignment covering course materials and objectives.,100,2024-10-25,2024-04-03,Draft
ASG000572,SEC000065,MUS336,Homework 7,Exam,Assignment covering course materials and objectives.,100,2025-06-05,2024-03-30,Active
ASG000573,SEC000369,MUS512,Presentation 7,Homework,Assignment covering course materials and objectives.,20,2024-01-28,2025-08-12,Active
ASG000574,SEC000180,MUS318,Quiz 4,Lab,Assignment covering course materials and objectives.,20,2024-10-07,2025-08-04,Active
ASG000575,SEC000209,ENG247,Project 6,Presentation,Assignment covering course materials and objectives.,100,2024-03-03,2025-12-10,Draft
ASG000576,SEC000227,NURS287,Project 5,Midterm,Assignment covering course materials and objectives.,20,2024-10-28,2025-12-19,Active
ASG000577,SEC000049,NURS296,Presentation 8,Presentation,Assignment covering course materials and objectives.,20,2024-04-06,2025-07-03,Draft
ASG000578,SEC000382,PSYC352,Lab 4,Homework,Assignment covering course materials and objectives.,100,2025-02-20,2024-10-19,Draft
ASG000579,SEC000155,MATH373,Exam 4,Exam,Assignment covering course materials and objectives.,50,2025-06-24,2024-08-29,Active
ASG000580,SEC000268,HIST395,Midterm 1,Exam,Assignment covering course materials and objectives.,100,2024-12-09,2024-04-16,Draft
ASG000581,SEC000345,PHYS438,Exam 1,Final,Assignment covering course materials and objectives.,25,2024-12-22,2024-09-28,Active
ASG000582,SEC000194,ENG247,Exam 8,Midterm,Assignment covering course materials and objectives.,20,2024-08-16,2024-04-14,Active
ASG000583,SEC000173,CS245,Final 2,Exam,Assignment covering course materials and objectives.,100,2025-04-21,2025-02-06,Draft
ASG000584,SEC000115,BUS307,Lab 1,Lab,Assignment covering course materials and objectives.,10,2025-09-29,2025-03-28,Active
ASG000585,SEC000134,BUS204,Midterm 7,Essay,Assignment covering course materials and objectives.,20,2024-05-12,2024-11-06,Draft
ASG000586,SEC000313,CHEM524,Presentation 6,Quiz,Assignment covering course materials and objectives.,50,2025-08-29,2024-07-01,Active
ASG000587,SEC000245,HIST522,Essay 2,Midterm,Assignment covering course materials and objectives.,10,2024-09-10,2025-01-15,Active
ASG000588,SEC000323,ENG238,Final 5,Essay,Assignment covering course materials and objectives.,25,2025-10-19,2025-04-10,Active
ASG000589,SEC000365,PHYS462,Essay 1,Homework,Assignment covering course materials and objectives.,25,2025-03-26,2024-09-23,Active
ASG000590,SEC000364,CHEM524,Final 1,Midterm,Assignment covering course materials and objectives.,50,2025-03-05,2024-11-15,Draft
ASG000591,SEC000266,HIST522,Lab 2,Project,Assignment covering course materials and objectives.,100,2025-11-13,2024-09-12,Active
ASG000592,SEC000092,NURS238,Midterm 7,Homework,Assignment covering course materials and objectives.,50,2025-07-02,2024-08-28,Active
ASG000593,SEC000180,MUS318,Lab 3,Exam,Assignment covering course materials and objectives.,25,2025-01-06,2024-05-09,Active
ASG000594,SEC000388,ECON508,Final 2,Presentation,Assignment covering course materials and objectives.,10,2025-11-10,2024-07-12,Active
ASG000595,SEC000128,MUS358,Lab 2,Midterm,Assignment covering course materials and objectives.,50,2025-12-17,2024-12-27,Active
ASG000596,SEC000209,ENG247,Quiz 5,Quiz,Assignment covering course materials and objectives.,10,2025-10-22,2025-08-15,Active
ASG000597,SEC000017,BUS310,Quiz 5,Midterm,Assignment covering course materials and objectives.,20,2025-08-04,2025-10-18,Active
ASG000598,SEC000323,ENG238,Exam 4,Essay,Assignment covering course materials and objectives.,100,2024-09-13,2024-10-15,Active
ASG000599,SEC000346,NURS389,Quiz 3,Midterm,Assignment covering course materials and objectives.,50,2024-03-16,2024-05-18,Draft
ASG000600,SEC000251,CS330,Quiz 6,Presentation,Assignment covering course materials and objectives.,100,2024-12-12,2024-07-18,Active
ASG000601,SEC000303,PSYC215,Quiz 8,Lab,Assignment covering course materials and objectives.,25,2025-05-14,2025-08-06,Active
ASG000602,SEC000008,CHEM248,Final 1,Project,Assignment covering course materials and objectives.,10,2025-07-04,2025-09-01,Active
ASG000603,SEC000086,ECON289,Homework 7,Lab,Assignment covering course materials and objectives.,10,2025-09-11,2025-09-24,Draft
ASG000604,SEC000167,CHEM241,Final 5,Homework,Assignment covering course materials and objectives.,20,2025-12-12,2025-08-01,Active
ASG000605,SEC000238,MUS507,Presentation 5,Essay,Assignment covering course materials and objectives.,20,2025-03-01,2025-10-17,Active
ASG000606,SEC000285,BUS538,Midterm 3,Final,Assignment covering course materials and objectives.,10,2024-06-21,2024-08-31,Draft
ASG000607,SEC000164,MUS358,Presentation 3,Presentation,Assignment covering course materials and objectives.,10,2024-01-14,2025-07-21,Active
